region,locale,administrative_area,site,area,plot_type,plot_ID,latitude,longitude,easting,northing,measurement_date,time,landscape_position,chamber_type,flux_CO2,flux_CO2_se,flux_CO2_Pvalue,flux_CO2_Rsquared,flux_CH4,flux_CH4_se,CH4_Pvalue,CH4_Rsquared
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_14,64.86012,-163.69757,561736,7193501,2016-08-03,13:54,upland,Trns,1.333,0.007,2.26E-147,0.997,-1.438,0.016,9.20E-109,0.986
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_15,64.85999,-163.69698,561764,7193487,2016-08-03,14:38,upland,Opq,1.123,0.006,5.33E-173,0.996,0.086,0.007,1.99E-23,0.501
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_15,64.85999,-163.69698,561764,7193487,2016-08-03,13:43,upland,Trns,-0.578,0.008,2.67E-138,0.966,0.17,0.004,6.10E-99,0.909
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_16,64.85915,-163.69208,561998,7193398,2016-08-03,18:50,slope,Trns,0.418,0.004,3.59E-192,0.983,0.784,0.005,9.12E-225,0.992
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_16,64.85915,-163.69208,561998,7193398,2016-08-03,18:59,slope,Opq,1.438,0.003,0.00E+00,0.999,0.727,0.004,5.89E-262,0.992
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_2,64.85983,-163.70351,561455,7193463,2016-08-03,17:07,slope,Opq,2.523,0.016,1.33E-164,0.994,-0.086,0.016,4.16E-07,0.156
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_2,64.85983,-163.70351,561455,7193463,2016-08-03,16:59,slope,Trns,1.11,0.01,1.18E-177,0.985,0.053,0.013,4.48E-05,0.079
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_4,64.85978,-163.69829,561702,7193462,2016-08-03,16:34,upland,Trns,-0.398,0.001,9.97E-301,0.997,20.358,0.086,7.20E-278,0.996
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_4,64.85978,-163.69829,561702,7193462,2016-08-03,16:41,upland,Opq,0.778,0.005,5.72E-220,0.993,8.075,0.028,3.23E-264,0.998
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_5,64.85936,-163.70338,561462,7193410,2016-08-03,16:17,slope,Opq,2.224,0.007,3.33E-222,0.998,-0.686,0.019,5.33E-80,0.894
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_5,64.85936,-163.70338,561462,7193410,2016-08-03,16:04,slope,Trns,1.116,0.008,7.54E-166,0.991,-0.184,0.017,7.30E-21,0.418
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_6,64.85941,-163.70335,561464,7193416,2016-08-03,16:12,lowland,Opq,0.89,0.003,1.04E-214,0.998,-0.013,0.009,1.76E-01,0.005
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_6,64.85941,-163.70335,561464,7193416,2016-08-03,15:59,lowland,Trns,0.703,0.002,7.15E-226,0.998,-0.154,0.007,8.64E-48,0.716
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_9,64.85976,-163.70061,561593,7193458,2016-08-03,15:33,upland,Trns,-0.501,0.011,2.05E-56,0.963,-0.311,0.02,9.73E-26,0.764
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_9,64.85976,-163.70061,561593,7193458,2016-08-03,15:39,upland,Opq,1.027,0.003,5.19E-226,0.999,0.036,0.007,2.09E-07,0.154
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_1,64.85995,-163.70358,561451,7193476,2016-08-04,15:07,upland,Trns,-0.27,0.005,8.74E-108,0.959,-0.336,0.015,2.77E-50,0.768
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_1,64.85995,-163.70358,561451,7193476,2016-08-04,15:11,upland,Opq,1.591,0.006,1.86E-215,0.998,-0.027,0.009,2.28E-03,0.05
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_10,64.85963,-163.69995,561624,7193444,2016-08-04,16:59,upland,Trns,0.534,0.004,3.78E-182,0.992,-0.823,0.009,4.79E-145,0.979
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_10,64.85963,-163.69995,561624,7193444,2016-08-04,17:06,upland,Opq,1.569,0.004,4.99E-183,0.999,-0.74,0.015,3.73E-79,0.957
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_11,64.85941,-163.70348,561457,7193416,2016-08-04,17:12,slope,Trns,-2.178,0.01,7.98E-192,0.997,177.907,0.185,2.04E-289,1
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_11,64.85941,-163.70348,561457,7193416,2016-08-04,17:18,slope,Opq,0.839,0.003,2.22E-217,0.999,126.339,0.938,5.08E-160,0.992
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_12,64.85974,-163.69836,561699,7193458,2016-08-04,17:34,lowland,Opq,1.822,0.006,4.31E-221,0.998,0.864,0.024,2.96E-76,0.888
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_12,64.85974,-163.69836,561699,7193458,2016-08-04,17:29,lowland,Trns,-0.631,0.006,1.44E-90,0.991,-0.018,0.032,5.84E-01,-0.008
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_13,64.8597,-163.70341,561460,7193448,2016-08-04,17:45,upland,Trns,-1.74,0.009,1.78E-240,0.994,85.875,0.462,6.22E-236,0.994
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_13,64.8597,-163.70341,561460,7193448,2016-08-04,17:52,upland,Opq,0.83,0.004,4.23E-243,0.995,52.313,0.424,1.04E-198,0.986
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_14,64.86012,-163.69757,561736,7193501,2016-08-04,18:18,upland,Trns,1.18,0.005,1.37E-148,0.998,-2.02,0.017,3.86E-120,0.992
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_14,64.86012,-163.69757,561736,7193501,2016-08-04,18:23,upland,Opq,1.107,0.01,3.46E-149,0.987,-1.058,0.02,4.11E-101,0.945
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_15,64.85999,-163.69698,561764,7193487,2016-08-04,18:35,upland,Opq,0.688,0.004,3.61E-193,0.996,0.082,0.006,9.10E-31,0.561
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_15,64.85999,-163.69698,561764,7193487,2016-08-04,18:30,upland,Trns,-14.883,1.254,8.14E-20,0.617,-69.768,6.161,9.95E-19,0.594
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_16,64.85915,-163.69208,561998,7193398,2016-08-04,14:02,slope,Trns,-1.669,0.331,1.45E-06,0.154,-5.318,1.624,1.35E-03,0.068
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_16,64.85915,-163.69208,561998,7193398,2016-08-04,14:07,slope,Opq,0.618,0.003,2.91E-160,0.997,0.464,0.01,5.62E-79,0.944
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_17,64.85904,-163.69142,562030,7193386,2016-08-04,13:53,lowland,Opq,1.352,0.011,9.15E-122,0.992,0.348,0.024,2.96E-27,0.64
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_17,64.85904,-163.69142,562030,7193386,2016-08-04,13:47,lowland,Trns,-0.484,0.007,1.00E-101,0.975,0.727,0.015,6.10E-84,0.952
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_18,64.85911,-163.69101,562049,7193395,2016-08-04,13:39,upland,Opq,0.855,0.005,2.53E-165,0.994,-0.265,0.006,1.09E-89,0.936
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_18,64.85911,-163.69101,562049,7193395,2016-08-04,13:32,upland,Trns,0.001,0.004,7.13E-01,-0.005,-0.429,0.005,1.54E-145,0.971
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_19,64.85921,-163.69075,562061,7193406,2016-08-04,13:01,slope,Opq,3.22,0.012,4.08E-231,0.997,-0.244,0.01,4.74E-57,0.761
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_19,64.85921,-163.69075,562061,7193406,2016-08-04,12:55,slope,Trns,0.882,0.006,4.81E-150,0.993,-0.442,0.014,1.38E-64,0.88
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_2,64.85983,-163.70351,561455,7193463,2016-08-04,15:20,slope,Trns,1.545,0.01,7.70E-134,0.995,-0.392,0.014,7.90E-52,0.864
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_2,64.85983,-163.70351,561455,7193463,2016-08-04,15:24,slope,Opq,1.455,0.016,1.32E-123,0.983,-0.183,0.013,5.54E-28,0.58
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_20,64.85937,-163.69061,562067,7193424,2016-08-04,13:17,lowland,Opq,1.594,0.002,2.44918221956423e-319,1,30.782,0.038,0.00E+00,1
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_20,64.85937,-163.69061,562067,7193424,2016-08-04,13:09,lowland,Trns,0.169,0.001,1.36E-263,0.994,28.578,0.039,0.00E+00,1
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_3,64.86009,-163.69769,561730,7193497,2016-08-04,15:38,lowland,Opq,0.725,0.004,1.36E-220,0.995,36.551,0.241,1.36E-202,0.992
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_3,64.86009,-163.69769,561730,7193497,2016-08-04,15:33,lowland,Trns,-0.859,0.003,4.86E-216,0.998,53.348,0.193,1.80E-208,0.998
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_4,64.85978,-163.69829,561702,7193462,2016-08-04,15:57,upland,Opq,0.585,0.003,2.35E-194,0.997,30.953,0.341,1.04E-135,0.982
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_4,64.85978,-163.69829,561702,7193462,2016-08-04,15:50,upland,Trns,-0.002,0.001,9.12E-02,0.011,23.919,0.073,6.33E-242,0.998
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_5,64.85936,-163.70338,561462,7193410,2016-08-04,16:23,slope,Opq,0.708,0.01,1.70E-116,0.968,-0.134,0.011,1.40E-23,0.478
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_5,64.85936,-163.70338,561462,7193410,2016-08-04,16:05,slope,Trns,0.432,0.008,6.59E-132,0.925,-0.235,0.009,5.91E-68,0.731
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_6,64.85941,-163.70335,561464,7193416,2016-08-04,16:28,lowland,Opq,0.362,0.004,7.16E-115,0.985,-0.139,0.007,5.37E-42,0.773
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_6,64.85941,-163.70335,561464,7193416,2016-08-04,16:13,lowland,Trns,0.382,0.002,1.09E-182,0.994,-0.247,0.005,4.73E-98,0.933
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_9,64.85976,-163.70061,561593,7193458,2016-08-04,16:46,upland,Opq,0.561,0.002,1.92E-200,0.998,-0.015,0.004,6.10E-04,0.071
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_9,64.85976,-163.70061,561593,7193458,2016-08-04,16:42,upland,Trns,-0.634,0.012,1.73E-73,0.966,-0.344,0.007,9.44E-69,0.958
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_1,64.85995,-163.70358,561451,7193476,2016-09-14,10:46,upland,Opq,0.301,0.001,1.45E-288,0.995,0.118,0.005,8.33E-62,0.673
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_1,64.85995,-163.70358,561451,7193476,2016-09-14,10:46,upland,Trns,-0.24,0.002,1.01E-176,0.98,0.032,0.007,1.37E-05,0.083
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_10,64.85963,-163.69995,561624,7193444,2016-09-14,12:57,upland,Opq,0.856,0.007,2.01E-181,0.987,-1.023,0.012,1.27E-153,0.974
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_10,64.85963,-163.69995,561624,7193444,2016-09-14,12:57,upland,Trns,0.309,0.003,3.24E-154,0.983,-1.67,0.016,4.77E-159,0.985
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_11,64.85941,-163.70348,561457,7193416,2016-09-14,13:15,slope,Opq,0.702,0.002,0.00E+00,0.998,122.7,0.087,0.00E+00,1
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_11,64.85941,-163.70348,561457,7193416,2016-09-14,13:15,slope,Trns,0.515,0.028,3.52E-50,0.548,152.201,0.48,0.00E+00,0.997
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_12,64.85974,-163.69836,561699,7193458,2016-09-14,13:44,lowland,Opq,0.661,0.002,0.00E+00,0.998,2.25,0.012,8.38E-299,0.992
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_12,64.85974,-163.69836,561699,7193458,2016-09-14,13:44,lowland,Trns,0.255,0.005,2.28E-112,0.939,2.07,0.016,4.35E-178,0.989
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_13,64.8597,-163.70341,561460,7193448,2016-09-14,14:04,upland,Opq,0.936,0.004,0.00E+00,0.994,177.737,1.075,2.18E-280,0.99
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_13,64.8597,-163.70341,561460,7193448,2016-09-14,14:04,upland,Trns,-2.356,0.007,1.25093627102844e-316,0.998,249.254,0.383,0.00E+00,0.999
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_14,64.86012,-163.69757,561736,7193501,2016-09-14,14:25,upland,Trns,0.265,0.001,4.73E-304,0.992,-1.017,0.008,1.83E-260,0.984
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_14,64.86012,-163.69757,561736,7193501,2016-09-14,14:25,upland,Opq,0.363,0.002,2.51E-254,0.992,-0.817,0.009,1.15E-189,0.972
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_15,64.85999,-163.69698,561764,7193487,2016-09-14,14:41,upland,Opq,0.244,0.001,2.86558074587923e-322,0.997,0.338,0.003,2.13E-215,0.978
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_15,64.85999,-163.69698,561764,7193487,2016-09-14,14:41,upland,Trns,-0.256,0.002,4.73E-252,0.989,0.243,0.006,1.81E-119,0.878
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_2,64.85983,-163.70351,561455,7193463,2016-09-14,11:00,slope,Trns,0.152,0.002,5.46E-147,0.97,1.217,0.009,5.92E-195,0.99
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_2,64.85983,-163.70351,561455,7193463,2016-09-14,11:00,slope,Opq,0.594,0.005,1.79E-243,0.98,1.651,0.011,6.72E-274,0.988
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_20,64.85937,-163.69061,562067,7193424,2016-09-14,15:20,lowland,Opq,1.758,0.008,4.10E-234,0.996,74.444,0.178,1.05E-284,0.999
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_20,64.85937,-163.69061,562067,7193424,2016-09-14,15:20,lowland,Trns,-0.34,0.002,5.01E-250,0.995,66.9,0.044,0.00E+00,1
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_3,64.86009,-163.69769,561730,7193497,2016-09-14,11:15,lowland,Opq,0.482,0.002,2.61E-286,0.997,39.924,0.135,5.09E-299,0.997
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_3,64.86009,-163.69769,561730,7193497,2016-09-14,11:15,lowland,Trns,0.009,0.002,9.43E-07,0.096,39.983,0.053,0.00E+00,1
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_4,64.85978,-163.69829,561702,7193462,2016-09-14,11:35,upland,Opq,0.52,0.002,0.00E+00,0.996,52.536,0.106,0.00E+00,0.999
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_4,64.85978,-163.69829,561702,7193462,2016-09-14,11:35,upland,Trns,-0.002,0.002,2.27E-01,0.002,69.095,0.081,0.00E+00,1
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_5,64.85936,-163.70338,561462,7193410,2016-09-14,11:53,slope,Trns,0.294,0.002,1.37E-292,0.989,1.82,0.013,1.02E-271,0.985
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_5,64.85936,-163.70338,561462,7193410,2016-09-14,11:53,slope,Opq,0.659,0.003,3.48E-308,0.992,2.417,0.021,2.37E-243,0.978
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_6,64.85941,-163.70335,561464,7193416,2016-09-14,12:00,lowland,Trns,0.066,0.001,1.54E-186,0.958,-0.14,0.004,1.27E-99,0.812
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_6,64.85941,-163.70335,561464,7193416,2016-09-14,12:00,lowland,Opq,0.22,0.001,3.06E-295,0.995,-0.108,0.004,1.98E-68,0.698
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_9,64.85976,-163.70061,561593,7193458,2016-09-14,12:36,upland,Opq,0.127,0.001,0.00E+00,0.995,0.976,0.005,0.00E+00,0.992
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_9,64.85976,-163.70061,561593,7193458,2016-09-14,12:36,upland,Trns,0.077,0.001,1.93E-205,0.978,1.418,0.006,2.76E-294,0.996
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_1,64.85995,-163.70358,561451,7193476,2017-06-19,14:34,upland,Opq,1.009,0.004,0.00E+00,0.995,-0.075,0.003,9.20E-68,0.63
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_1,64.85995,-163.70358,561451,7193476,2017-06-19,14:34,upland,Trns,1.991,0.555,4.50E-04,0.074,20.206,2.733,1.01E-11,0.266
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_10,64.85963,-163.69995,561624,7193444,2017-06-19,16:55,upland,Trns,0.323,0.004,8.61E-166,0.972,-0.812,0.01,2.62E-159,0.968
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_10,64.85963,-163.69995,561624,7193444,2017-06-19,16:55,upland,Opq,1.778,0.004,0.00E+00,0.999,-0.647,0.011,7.25E-154,0.934
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_11,64.85941,-163.70348,561457,7193416,2017-06-19,17:11,slope,Trns,-0.927,0.005,2.64E-223,0.995,154.804,0.129,0.00E+00,1
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_11,64.85941,-163.70348,561457,7193416,2017-06-19,17:11,slope,Opq,2.186,0.004,0.00E+00,0.999,149.182,0.186,0.00E+00,1
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_12,64.85974,-163.69836,561699,7193458,2017-06-19,17:49,lowland,Opq,1.456,0.001,0.00E+00,1,2.482,0.006,0.00E+00,0.998
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_12,64.85974,-163.69836,561699,7193458,2017-06-19,17:49,lowland,Trns,-0.492,0.012,3.98E-112,0.883,2.814,0.005,0.00E+00,0.999
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_13,64.8597,-163.70341,561460,7193448,2017-06-19,18:18,upland,Trns,-0.987,0.006,4.34E-191,0.995,102.196,0.23,1.23E-258,0.999
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_13,64.8597,-163.70341,561460,7193448,2017-06-19,18:18,upland,Opq,1.673,0.004,0.00E+00,0.999,121.273,0.732,3.02E-246,0.991
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_14,64.86012,-163.69757,561736,7193501,2017-06-19,18:37,upland,Trns,0.128,0.005,4.91E-66,0.722,-0.794,0.006,2.30E-225,0.989
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_14,64.86012,-163.69757,561736,7193501,2017-06-19,18:37,upland,Opq,1.909,0.004,0.00E+00,0.999,-1.923,0.013,6.96E-252,0.988
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_15,64.85999,-163.69698,561764,7193487,2017-06-19,19:27,upland,Trns,-0.323,0.003,1.32E-164,0.982,-0.121,0.01,3.40E-25,0.437
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_15,64.85999,-163.69698,561764,7193487,2017-06-19,19:27,upland,Opq,0.697,0.001,0.00E+00,0.999,0.18,0.003,2.39E-195,0.927
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_16,64.85915,-163.69208,561998,7193398,2017-06-19,11:24,slope,Opq,0.74,0.001,0.00E+00,0.999,0.015,0.003,2.11E-07,0.079
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_16,64.85915,-163.69208,561998,7193398,2017-06-19,11:24,slope,Trns,-0.145,0.003,1.06E-131,0.92,0.031,0.003,5.55E-21,0.31
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_17,64.85904,-163.69142,562030,7193386,2017-06-19,11:44,lowland,Opq,1.528,0.006,5.18E-281,0.997,-0.754,0.01,7.47E-159,0.963
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_17,64.85904,-163.69142,562030,7193386,2017-06-19,11:44,lowland,Trns,0.648,0.008,4.43E-139,0.975,-0.582,0.011,1.47E-107,0.942
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_18,64.85911,-163.69101,562049,7193395,2017-06-19,12:00,upland,Trns,-1.708,0.226,1.56E-12,0.217,-6.058,1.036,2.02E-08,0.141
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_18,64.85911,-163.69101,562049,7193395,2017-06-19,12:00,upland,Opq,0.826,0.002,0.00E+00,0.999,-0.123,0.005,5.50E-65,0.717
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_19,64.85921,-163.69075,562061,7193406,2017-06-19,12:20,slope,Trns,0.5,0.053,4.85E-19,0.17,1.1,0.219,7.73E-07,0.054
Seward_Peninsula,Council,NA,CN_MM71,CN_MM71_BGC,Biogeochemistry,BGC_19,64.85921,-163.69075,562061,7193406,2017-06-19,12:20,slope,Opq,2.828,0.007,0.00E+00,0.998,-0.051,0.005,3.85E-18,0.223
